rho_l,rho_s,k_l,k_s,cp_l,cp_s,Surr_temp,L_fusion,temp_init,heat_transfer_coefficient_left,heat_transfer_coefficient_right,Length,Lowest_Niyama
2386.2,2628.7,100.88,93.31,1207.94,934.11,285.0,377330,901.0,10.0,10.0,0.01,2.94
2533.8,2628.7,100.88,93.31,1207.94,934.11,285.0,400670,925.0,15.0,10.0,0.01,1.61
2386.2,2791.3,100.88,93.31,1207.94,934.11,285.0,400670,925.0,10.0,15.0,0.01,0.39
2533.8,2791.3,100.88,93.31,1207.94,934.11,285.0,377330,901.0,15.0,15.0,0.01,3.38
2386.2,2628.7,107.2,93.31,1207.94,934.11,285.0,400670,901.0,15.0,15.0,0.02,6.21
2533.8,2628.7,107.2,93.31,1207.94,934.11,285.0,377330,925.0,10.0,15.0,0.02,0.01
2386.2,2791.3,107.2,93.31,1207.94,934.11,285.0,377330,925.0,15.0,10.0,0.02,0.57
2533.8,2791.3,107.2,93.31,1207.94,934.11,285.0,400670,901.0,10.0,10.0,0.02,5.95
2386.2,2628.7,100.88,99.08,1207.94,934.11,285.0,377330,925.0,10.0,10.0,0.02,5.23
2533.8,2628.7,100.88,99.08,1207.94,934.11,285.0,400670,901.0,15.0,10.0,0.02,0.01
2386.2,2791.3,100.88,99.08,1207.94,934.11,285.0,400670,901.0,10.0,15.0,0.02,0.01
2533.8,2791.3,100.88,99.08,1207.94,934.11,285.0,377330,925.0,15.0,15.0,0.02,6.04
2386.2,2628.7,107.2,99.08,1207.94,934.11,285.0,400670,925.0,15.0,15.0,0.01,3.19
2533.8,2628.7,107.2,99.08,1207.94,934.11,285.0,377330,901.0,10.0,15.0,0.01,1.23
2386.2,2791.3,107.2,99.08,1207.94,934.11,285.0,377330,901.0,15.0,10.0,0.01,0.28
2533.8,2791.3,107.2,99.08,1207.94,934.11,285.0,400670,925.0,10.0,10.0,0.01,3.06
2386.2,2628.7,100.88,93.31,1282.65,934.11,285.0,377330,901.0,15.0,10.0,0.02,0.01
2533.8,2628.7,100.88,93.31,1282.65,934.11,285.0,400670,925.0,10.0,10.0,0.02,9.46
2386.2,2791.3,100.88,93.31,1282.65,934.11,285.0,400670,925.0,15.0,15.0,0.02,5.07
2533.8,2791.3,100.88,93.31,1282.65,934.11,285.0,377330,901.0,10.0,15.0,0.02,0.01
2386.2,2628.7,107.2,93.31,1282.65,934.11,285.0,400670,901.0,10.0,15.0,0.01,0.5
2533.8,2628.7,107.2,93.31,1282.65,934.11,285.0,377330,925.0,15.0,15.0,0.01,5.29
2386.2,2791.3,107.2,93.31,1282.65,934.11,285.0,377330,925.0,10.0,10.0,0.01,2.36
2533.8,2791.3,107.2,93.31,1282.65,934.11,285.0,400670,901.0,15.0,10.0,0.01,0.54
2386.2,2628.7,100.88,99.08,1282.65,934.11,285.0,377330,925.0,15.0,10.0,0.01,0.85
2533.8,2628.7,100.88,99.08,1282.65,934.11,285.0,400670,901.0,10.0,10.0,0.01,4.86
2386.2,2791.3,100.88,99.08,1282.65,934.11,285.0,400670,901.0,15.0,15.0,0.01,2.6
2533.8,2791.3,100.88,99.08,1282.65,934.11,285.0,377330,925.0,10.0,15.0,0.01,0.86
2386.2,2628.7,107.2,99.08,1282.65,934.11,285.0,400670,925.0,10.0,15.0,0.02,0.01
2533.8,2628.7,107.2,99.08,1282.65,934.11,285.0,377330,901.0,15.0,15.0,0.02,9.47
2386.2,2791.3,107.2,99.08,1282.65,934.11,285.0,377330,901.0,10.0,10.0,0.02,4.2
2533.8,2791.3,107.2,99.08,1282.65,934.11,285.0,400670,925.0,15.0,10.0,0.02,0.01
2386.2,2628.7,100.88,93.31,1207.94,991.89,285.0,377330,901.0,10.0,15.0,0.01,0.41
2533.8,2628.7,100.88,93.31,1207.94,991.89,285.0,400670,925.0,15.0,15.0,0.01,5.59
2386.2,2791.3,100.88,93.31,1207.94,991.89,285.0,400670,925.0,10.0,10.0,0.01,2.49
2533.8,2791.3,100.88,93.31,1207.94,991.89,285.0,377330,901.0,15.0,10.0,0.01,0.45
2386.2,2628.7,107.2,93.31,1207.94,991.89,285.0,400670,901.0,15.0,10.0,0.02,0.35
2533.8,2628.7,107.2,93.31,1207.94,991.89,285.0,377330,925.0,10.0,10.0,0.02,9.04
2386.2,2791.3,107.2,93.31,1207.94,991.89,285.0,377330,925.0,15.0,15.0,0.02,4.84
2533.8,2791.3,107.2,93.31,1207.94,991.89,285.0,400670,901.0,10.0,15.0,0.02,0.36
2386.2,2628.7,100.88,99.08,1207.94,991.89,285.0,377330,925.0,10.0,15.0,0.02,0.0
2533.8,2628.7,100.88,99.08,1207.94,991.89,285.0,400670,901.0,15.0,15.0,0.02,10.0
2386.2,2791.3,100.88,99.08,1207.94,991.89,285.0,400670,901.0,10.0,10.0,0.02,4.44
2533.8,2791.3,100.88,99.08,1207.94,991.89,285.0,377330,925.0,15.0,10.0,0.02,0.0
2386.2,2628.7,107.2,99.08,1207.94,991.89,285.0,400670,925.0,15.0,10.0,0.01,0.54
2533.8,2628.7,107.2,99.08,1207.94,991.89,285.0,377330,901.0,10.0,10.0,0.01,4.66
2386.2,2791.3,107.2,99.08,1207.94,991.89,285.0,377330,901.0,15.0,15.0,0.01,2.49
2533.8,2791.3,107.2,99.08,1207.94,991.89,285.0,400670,925.0,10.0,15.0,0.01,0.55
2386.2,2628.7,100.88,93.31,1282.65,991.89,285.0,377330,901.0,15.0,15.0,0.02,6.04
2533.8,2628.7,100.88,93.31,1282.65,991.89,285.0,400670,925.0,10.0,15.0,0.02,0.01
2386.2,2791.3,100.88,93.31,1282.65,991.89,285.0,400670,925.0,15.0,10.0,0.02,0.07
2533.8,2791.3,100.88,93.31,1282.65,991.89,285.0,377330,901.0,10.0,10.0,0.02,5.78
2386.2,2628.7,107.2,93.31,1282.65,991.89,285.0,400670,901.0,10.0,10.0,0.01,3.06
2533.8,2628.7,107.2,93.31,1282.65,991.89,285.0,377330,925.0,15.0,10.0,0.01,0.74
2386.2,2791.3,107.2,93.31,1282.65,991.89,285.0,377330,925.0,10.0,15.0,0.01,0.01
2533.8,2791.3,107.2,93.31,1282.65,991.89,285.0,400670,901.0,15.0,15.0,0.01,3.53
2386.2,2628.7,100.88,99.08,1282.65,991.89,285.0,377330,925.0,15.0,15.0,0.01,3.1
2533.8,2628.7,100.88,99.08,1282.65,991.89,285.0,400670,901.0,10.0,15.0,0.01,1.71
2386.2,2791.3,100.88,99.08,1282.65,991.89,285.0,400670,901.0,15.0,10.0,0.01,0.5
2533.8,2791.3,100.88,99.08,1282.65,991.89,285.0,377330,925.0,10.0,10.0,0.01,2.98
2386.2,2628.7,107.2,99.08,1282.65,991.89,285.0,400670,925.0,10.0,10.0,0.02,5.46
2533.8,2628.7,107.2,99.08,1282.65,991.89,285.0,377330,901.0,15.0,10.0,0.02,0.01
2386.2,2791.3,107.2,99.08,1282.65,991.89,285.0,377330,901.0,10.0,15.0,0.02,0.53
2533.8,2791.3,107.2,99.08,1282.65,991.89,285.0,400670,925.0,15.0,15.0,0.02,6.3
2386.2,2628.7,100.88,93.31,1207.94,934.11,298.0,377330,901.0,10.0,10.0,0.01,2.92
2533.8,2628.7,100.88,93.31,1207.94,934.11,298.0,400670,925.0,15.0,10.0,0.01,0.92
2386.2,2791.3,100.88,93.31,1207.94,934.11,298.0,400670,925.0,10.0,15.0,0.01,0.08
2533.8,2791.3,100.88,93.31,1207.94,934.11,298.0,377330,901.0,15.0,15.0,0.01,3.36
2386.2,2628.7,107.2,93.31,1207.94,934.11,298.0,400670,901.0,15.0,15.0,0.02,6.17
2533.8,2628.7,107.2,93.31,1207.94,934.11,298.0,377330,925.0,10.0,15.0,0.02,0.0
2386.2,2791.3,107.2,93.31,1207.94,934.11,298.0,377330,925.0,15.0,10.0,0.02,0.57
2533.8,2791.3,107.2,93.31,1207.94,934.11,298.0,400670,901.0,10.0,10.0,0.02,5.91
2386.2,2628.7,100.88,99.08,1207.94,934.11,298.0,377330,925.0,10.0,10.0,0.02,5.19
2533.8,2628.7,100.88,99.08,1207.94,934.11,298.0,400670,901.0,15.0,10.0,0.02,0.01
2386.2,2791.3,100.88,99.08,1207.94,934.11,298.0,400670,901.0,10.0,15.0,0.02,0.01
2533.8,2791.3,100.88,99.08,1207.94,934.11,298.0,377330,925.0,15.0,15.0,0.02,6.0
2386.2,2628.7,107.2,99.08,1207.94,934.11,298.0,400670,925.0,15.0,15.0,0.01,3.17
2533.8,2628.7,107.2,99.08,1207.94,934.11,298.0,377330,901.0,10.0,15.0,0.01,0.65
2386.2,2791.3,107.2,99.08,1207.94,934.11,298.0,377330,901.0,15.0,10.0,0.01,0.0
2533.8,2791.3,107.2,99.08,1207.94,934.11,298.0,400670,925.0,10.0,10.0,0.01,3.04
2386.2,2628.7,100.88,93.31,1282.65,934.11,298.0,377330,901.0,15.0,10.0,0.02,0.0
2533.8,2628.7,100.88,93.31,1282.65,934.11,298.0,400670,925.0,10.0,10.0,0.02,9.4
2386.2,2791.3,100.88,93.31,1282.65,934.11,298.0,400670,925.0,15.0,15.0,0.02,5.04
2533.8,2791.3,100.88,93.31,1282.65,934.11,298.0,377330,901.0,10.0,15.0,0.02,0.0
2386.2,2628.7,107.2,93.31,1282.65,934.11,298.0,400670,901.0,10.0,15.0,0.01,0.11
2533.8,2628.7,107.2,93.31,1282.65,934.11,298.0,377330,925.0,15.0,15.0,0.01,5.26
2386.2,2791.3,107.2,93.31,1282.65,934.11,298.0,377330,925.0,10.0,10.0,0.01,2.35
2533.8,2791.3,107.2,93.31,1282.65,934.11,298.0,400670,901.0,15.0,10.0,0.01,0.12
2386.2,2628.7,100.88,99.08,1282.65,934.11,298.0,377330,925.0,15.0,10.0,0.01,0.48
2533.8,2628.7,100.88,99.08,1282.65,934.11,298.0,400670,901.0,10.0,10.0,0.01,4.84
2386.2,2791.3,100.88,99.08,1282.65,934.11,298.0,400670,901.0,15.0,15.0,0.01,2.58
2533.8,2791.3,100.88,99.08,1282.65,934.11,298.0,377330,925.0,10.0,15.0,0.01,0.49
2386.2,2628.7,107.2,99.08,1282.65,934.11,298.0,400670,925.0,10.0,15.0,0.02,0.0
2533.8,2628.7,107.2,99.08,1282.65,934.11,298.0,377330,901.0,15.0,15.0,0.02,9.41
2386.2,2791.3,107.2,99.08,1282.65,934.11,298.0,377330,901.0,10.0,10.0,0.02,4.18
2533.8,2791.3,107.2,99.08,1282.65,934.11,298.0,400670,925.0,15.0,10.0,0.02,0.0
2386.2,2628.7,100.88,93.31,1207.94,991.89,298.0,377330,901.0,10.0,15.0,0.01,0.06
2533.8,2628.7,100.88,93.31,1207.94,991.89,298.0,400670,925.0,15.0,15.0,0.01,5.56
2386.2,2791.3,100.88,93.31,1207.94,991.89,298.0,400670,925.0,10.0,10.0,0.01,2.48
2533.8,2791.3,100.88,93.31,1207.94,991.89,298.0,377330,901.0,15.0,10.0,0.01,0.06
2386.2,2628.7,107.2,93.31,1207.94,991.89,298.0,400670,901.0,15.0,10.0,0.02,0.36
2533.8,2628.7,107.2,93.31,1207.94,991.89,298.0,377330,925.0,10.0,10.0,0.02,8.98
2386.2,2791.3,107.2,93.31,1207.94,991.89,298.0,377330,925.0,15.0,15.0,0.02,4.8
2533.8,2791.3,107.2,93.31,1207.94,991.89,298.0,400670,901.0,10.0,15.0,0.02,0.37
2386.2,2628.7,100.88,99.08,1207.94,991.89,298.0,377330,925.0,10.0,15.0,0.02,0.0
2533.8,2628.7,100.88,99.08,1207.94,991.89,298.0,400670,901.0,15.0,15.0,0.02,9.93
2386.2,2791.3,100.88,99.08,1207.94,991.89,298.0,400670,901.0,10.0,10.0,0.02,4.41
2533.8,2791.3,100.88,99.08,1207.94,991.89,298.0,377330,925.0,15.0,10.0,0.02,0.0
2386.2,2628.7,107.2,99.08,1207.94,991.89,298.0,400670,925.0,15.0,10.0,0.01,0.17
2533.8,2628.7,107.2,99.08,1207.94,991.89,298.0,377330,901.0,10.0,10.0,0.01,4.63
2386.2,2791.3,107.2,99.08,1207.94,991.89,298.0,377330,901.0,15.0,15.0,0.01,2.47
2533.8,2791.3,107.2,99.08,1207.94,991.89,298.0,400670,925.0,10.0,15.0,0.01,0.17
2386.2,2628.7,100.88,93.31,1282.65,991.89,298.0,377330,901.0,15.0,15.0,0.02,6.0
2533.8,2628.7,100.88,93.31,1282.65,991.89,298.0,400670,925.0,10.0,15.0,0.02,0.01
2386.2,2791.3,100.88,93.31,1282.65,991.89,298.0,400670,925.0,15.0,10.0,0.02,0.1
2533.8,2791.3,100.88,93.31,1282.65,991.89,298.0,377330,901.0,10.0,10.0,0.02,5.74
2386.2,2628.7,107.2,93.31,1282.65,991.89,298.0,400670,901.0,10.0,10.0,0.01,3.05
2533.8,2628.7,107.2,93.31,1282.65,991.89,298.0,377330,925.0,15.0,10.0,0.01,0.14
2386.2,2791.3,107.2,93.31,1282.65,991.89,298.0,377330,925.0,10.0,15.0,0.01,0.0
2533.8,2791.3,107.2,93.31,1282.65,991.89,298.0,400670,901.0,15.0,15.0,0.01,3.5
2386.2,2628.7,100.88,99.08,1282.65,991.89,298.0,377330,925.0,15.0,15.0,0.01,3.08
2533.8,2628.7,100.88,99.08,1282.65,991.89,298.0,400670,901.0,10.0,15.0,0.01,1.08
2386.2,2791.3,100.88,99.08,1282.65,991.89,298.0,400670,901.0,15.0,10.0,0.01,0.19
2533.8,2791.3,100.88,99.08,1282.65,991.89,298.0,377330,925.0,10.0,10.0,0.01,2.96
2386.2,2628.7,107.2,99.08,1282.65,991.89,298.0,400670,925.0,10.0,10.0,0.02,5.42
2533.8,2628.7,107.2,99.08,1282.65,991.89,298.0,377330,901.0,15.0,10.0,0.02,0.0
2386.2,2791.3,107.2,99.08,1282.65,991.89,298.0,377330,901.0,10.0,15.0,0.02,0.55
2533.8,2791.3,107.2,99.08,1282.65,991.89,298.0,400670,925.0,15.0,15.0,0.02,6.26
