rho_l,rho_s,k_l,k_s,cp_l,cp_s,Surr_temp,L_fusion,temp_init,heat_transfer_coefficient_left,heat_transfer_coefficient_right,Length,Lowest_Niyama,center_pt
2386.2,2628.7,100.88,93.31,1207.94,934.11,285.0,377330.0,901.0,10.0,10.0,0.01,2.94,0
2533.8,2628.7,100.88,93.31,1207.94,934.11,285.0,400670.0,925.0,15.0,10.0,0.01,1.61,0
2386.2,2791.3,100.88,93.31,1207.94,934.11,285.0,400670.0,925.0,10.0,15.0,0.01,0.39,0
2533.8,2791.3,100.88,93.31,1207.94,934.11,285.0,377330.0,901.0,15.0,15.0,0.01,3.38,0
2386.2,2628.7,107.2,93.31,1207.94,934.11,285.0,400670.0,901.0,15.0,15.0,0.02,6.21,0
2533.8,2628.7,107.2,93.31,1207.94,934.11,285.0,377330.0,925.0,10.0,15.0,0.02,0.01,0
2386.2,2791.3,107.2,93.31,1207.94,934.11,285.0,377330.0,925.0,15.0,10.0,0.02,0.57,0
2533.8,2791.3,107.2,93.31,1207.94,934.11,285.0,400670.0,901.0,10.0,10.0,0.02,5.95,0
2386.2,2628.7,100.88,99.08,1207.94,934.11,285.0,377330.0,925.0,10.0,10.0,0.02,5.23,0
2533.8,2628.7,100.88,99.08,1207.94,934.11,285.0,400670.0,901.0,15.0,10.0,0.02,0.01,0
2386.2,2791.3,100.88,99.08,1207.94,934.11,285.0,400670.0,901.0,10.0,15.0,0.02,0.01,0
2533.8,2791.3,100.88,99.08,1207.94,934.11,285.0,377330.0,925.0,15.0,15.0,0.02,6.04,0
2386.2,2628.7,107.2,99.08,1207.94,934.11,285.0,400670.0,925.0,15.0,15.0,0.01,3.19,0
2533.8,2628.7,107.2,99.08,1207.94,934.11,285.0,377330.0,901.0,10.0,15.0,0.01,1.23,0
2386.2,2791.3,107.2,99.08,1207.94,934.11,285.0,377330.0,901.0,15.0,10.0,0.01,0.28,0
2533.8,2791.3,107.2,99.08,1207.94,934.11,285.0,400670.0,925.0,10.0,10.0,0.01,3.06,0
2386.2,2628.7,100.88,93.31,1282.65,934.11,285.0,377330.0,901.0,15.0,10.0,0.02,0.01,0
2533.8,2628.7,100.88,93.31,1282.65,934.11,285.0,400670.0,925.0,10.0,10.0,0.02,9.46,0
2386.2,2791.3,100.88,93.31,1282.65,934.11,285.0,400670.0,925.0,15.0,15.0,0.02,5.07,0
2533.8,2791.3,100.88,93.31,1282.65,934.11,285.0,377330.0,901.0,10.0,15.0,0.02,0.01,0
2386.2,2628.7,107.2,93.31,1282.65,934.11,285.0,400670.0,901.0,10.0,15.0,0.01,0.5,0
2533.8,2628.7,107.2,93.31,1282.65,934.11,285.0,377330.0,925.0,15.0,15.0,0.01,5.29,0
2386.2,2791.3,107.2,93.31,1282.65,934.11,285.0,377330.0,925.0,10.0,10.0,0.01,2.36,0
2533.8,2791.3,107.2,93.31,1282.65,934.11,285.0,400670.0,901.0,15.0,10.0,0.01,0.54,0
2386.2,2628.7,100.88,99.08,1282.65,934.11,285.0,377330.0,925.0,15.0,10.0,0.01,0.85,0
2533.8,2628.7,100.88,99.08,1282.65,934.11,285.0,400670.0,901.0,10.0,10.0,0.01,4.86,0
2386.2,2791.3,100.88,99.08,1282.65,934.11,285.0,400670.0,901.0,15.0,15.0,0.01,2.6,0
2533.8,2791.3,100.88,99.08,1282.65,934.11,285.0,377330.0,925.0,10.0,15.0,0.01,0.86,0
2386.2,2628.7,107.2,99.08,1282.65,934.11,285.0,400670.0,925.0,10.0,15.0,0.02,0.01,0
2533.8,2628.7,107.2,99.08,1282.65,934.11,285.0,377330.0,901.0,15.0,15.0,0.02,9.47,0
2386.2,2791.3,107.2,99.08,1282.65,934.11,285.0,377330.0,901.0,10.0,10.0,0.02,4.2,0
2533.8,2791.3,107.2,99.08,1282.65,934.11,285.0,400670.0,925.0,15.0,10.0,0.02,0.01,0
2386.2,2628.7,100.88,93.31,1207.94,991.89,285.0,377330.0,901.0,10.0,15.0,0.01,0.41,0
2533.8,2628.7,100.88,93.31,1207.94,991.89,285.0,400670.0,925.0,15.0,15.0,0.01,5.59,0
2386.2,2791.3,100.88,93.31,1207.94,991.89,285.0,400670.0,925.0,10.0,10.0,0.01,2.49,0
2533.8,2791.3,100.88,93.31,1207.94,991.89,285.0,377330.0,901.0,15.0,10.0,0.01,0.45,0
2386.2,2628.7,107.2,93.31,1207.94,991.89,285.0,400670.0,901.0,15.0,10.0,0.02,0.35,0
2533.8,2628.7,107.2,93.31,1207.94,991.89,285.0,377330.0,925.0,10.0,10.0,0.02,9.04,0
2386.2,2791.3,107.2,93.31,1207.94,991.89,285.0,377330.0,925.0,15.0,15.0,0.02,4.84,0
2533.8,2791.3,107.2,93.31,1207.94,991.89,285.0,400670.0,901.0,10.0,15.0,0.02,0.36,0
2386.2,2628.7,100.88,99.08,1207.94,991.89,285.0,377330.0,925.0,10.0,15.0,0.02,0.0,0
2533.8,2628.7,100.88,99.08,1207.94,991.89,285.0,400670.0,901.0,15.0,15.0,0.02,10.0,0
2386.2,2791.3,100.88,99.08,1207.94,991.89,285.0,400670.0,901.0,10.0,10.0,0.02,4.44,0
2533.8,2791.3,100.88,99.08,1207.94,991.89,285.0,377330.0,925.0,15.0,10.0,0.02,0.0,0
2386.2,2628.7,107.2,99.08,1207.94,991.89,285.0,400670.0,925.0,15.0,10.0,0.01,0.54,0
2533.8,2628.7,107.2,99.08,1207.94,991.89,285.0,377330.0,901.0,10.0,10.0,0.01,4.66,0
2386.2,2791.3,107.2,99.08,1207.94,991.89,285.0,377330.0,901.0,15.0,15.0,0.01,2.49,0
2533.8,2791.3,107.2,99.08,1207.94,991.89,285.0,400670.0,925.0,10.0,15.0,0.01,0.55,0
2386.2,2628.7,100.88,93.31,1282.65,991.89,285.0,377330.0,901.0,15.0,15.0,0.02,6.04,0
2533.8,2628.7,100.88,93.31,1282.65,991.89,285.0,400670.0,925.0,10.0,15.0,0.02,0.01,0
2386.2,2791.3,100.88,93.31,1282.65,991.89,285.0,400670.0,925.0,15.0,10.0,0.02,0.07,0
2533.8,2791.3,100.88,93.31,1282.65,991.89,285.0,377330.0,901.0,10.0,10.0,0.02,5.78,0
2386.2,2628.7,107.2,93.31,1282.65,991.89,285.0,400670.0,901.0,10.0,10.0,0.01,3.06,0
2533.8,2628.7,107.2,93.31,1282.65,991.89,285.0,377330.0,925.0,15.0,10.0,0.01,0.74,0
2386.2,2791.3,107.2,93.31,1282.65,991.89,285.0,377330.0,925.0,10.0,15.0,0.01,0.01,0
2533.8,2791.3,107.2,93.31,1282.65,991.89,285.0,400670.0,901.0,15.0,15.0,0.01,3.53,0
2386.2,2628.7,100.88,99.08,1282.65,991.89,285.0,377330.0,925.0,15.0,15.0,0.01,3.1,0
2533.8,2628.7,100.88,99.08,1282.65,991.89,285.0,400670.0,901.0,10.0,15.0,0.01,1.71,0
2386.2,2791.3,100.88,99.08,1282.65,991.89,285.0,400670.0,901.0,15.0,10.0,0.01,0.5,0
2533.8,2791.3,100.88,99.08,1282.65,991.89,285.0,377330.0,925.0,10.0,10.0,0.01,2.98,0
2386.2,2628.7,107.2,99.08,1282.65,991.89,285.0,400670.0,925.0,10.0,10.0,0.02,5.46,0
2533.8,2628.7,107.2,99.08,1282.65,991.89,285.0,377330.0,901.0,15.0,10.0,0.02,0.01,0
2386.2,2791.3,107.2,99.08,1282.65,991.89,285.0,377330.0,901.0,10.0,15.0,0.02,0.53,0
2533.8,2791.3,107.2,99.08,1282.65,991.89,285.0,400670.0,925.0,15.0,15.0,0.02,6.3,0
2386.2,2628.7,100.88,93.31,1207.94,934.11,298.0,377330.0,901.0,10.0,10.0,0.01,2.92,0
2533.8,2628.7,100.88,93.31,1207.94,934.11,298.0,400670.0,925.0,15.0,10.0,0.01,0.92,0
2386.2,2791.3,100.88,93.31,1207.94,934.11,298.0,400670.0,925.0,10.0,15.0,0.01,0.08,0
2533.8,2791.3,100.88,93.31,1207.94,934.11,298.0,377330.0,901.0,15.0,15.0,0.01,3.36,0
2386.2,2628.7,107.2,93.31,1207.94,934.11,298.0,400670.0,901.0,15.0,15.0,0.02,6.17,0
2533.8,2628.7,107.2,93.31,1207.94,934.11,298.0,377330.0,925.0,10.0,15.0,0.02,0.0,0
2386.2,2791.3,107.2,93.31,1207.94,934.11,298.0,377330.0,925.0,15.0,10.0,0.02,0.57,0
2533.8,2791.3,107.2,93.31,1207.94,934.11,298.0,400670.0,901.0,10.0,10.0,0.02,5.91,0
2386.2,2628.7,100.88,99.08,1207.94,934.11,298.0,377330.0,925.0,10.0,10.0,0.02,5.19,0
2533.8,2628.7,100.88,99.08,1207.94,934.11,298.0,400670.0,901.0,15.0,10.0,0.02,0.01,0
2386.2,2791.3,100.88,99.08,1207.94,934.11,298.0,400670.0,901.0,10.0,15.0,0.02,0.01,0
2533.8,2791.3,100.88,99.08,1207.94,934.11,298.0,377330.0,925.0,15.0,15.0,0.02,6.0,0
2386.2,2628.7,107.2,99.08,1207.94,934.11,298.0,400670.0,925.0,15.0,15.0,0.01,3.17,0
2533.8,2628.7,107.2,99.08,1207.94,934.11,298.0,377330.0,901.0,10.0,15.0,0.01,0.65,0
2386.2,2791.3,107.2,99.08,1207.94,934.11,298.0,377330.0,901.0,15.0,10.0,0.01,0.0,0
2533.8,2791.3,107.2,99.08,1207.94,934.11,298.0,400670.0,925.0,10.0,10.0,0.01,3.04,0
2386.2,2628.7,100.88,93.31,1282.65,934.11,298.0,377330.0,901.0,15.0,10.0,0.02,0.0,0
2533.8,2628.7,100.88,93.31,1282.65,934.11,298.0,400670.0,925.0,10.0,10.0,0.02,9.4,0
2386.2,2791.3,100.88,93.31,1282.65,934.11,298.0,400670.0,925.0,15.0,15.0,0.02,5.04,0
2533.8,2791.3,100.88,93.31,1282.65,934.11,298.0,377330.0,901.0,10.0,15.0,0.02,0.0,0
2386.2,2628.7,107.2,93.31,1282.65,934.11,298.0,400670.0,901.0,10.0,15.0,0.01,0.11,0
2533.8,2628.7,107.2,93.31,1282.65,934.11,298.0,377330.0,925.0,15.0,15.0,0.01,5.26,0
2386.2,2791.3,107.2,93.31,1282.65,934.11,298.0,377330.0,925.0,10.0,10.0,0.01,2.35,0
2533.8,2791.3,107.2,93.31,1282.65,934.11,298.0,400670.0,901.0,15.0,10.0,0.01,0.12,0
2386.2,2628.7,100.88,99.08,1282.65,934.11,298.0,377330.0,925.0,15.0,10.0,0.01,0.48,0
2533.8,2628.7,100.88,99.08,1282.65,934.11,298.0,400670.0,901.0,10.0,10.0,0.01,4.84,0
2386.2,2791.3,100.88,99.08,1282.65,934.11,298.0,400670.0,901.0,15.0,15.0,0.01,2.58,0
2533.8,2791.3,100.88,99.08,1282.65,934.11,298.0,377330.0,925.0,10.0,15.0,0.01,0.49,0
2386.2,2628.7,107.2,99.08,1282.65,934.11,298.0,400670.0,925.0,10.0,15.0,0.02,0.0,0
2533.8,2628.7,107.2,99.08,1282.65,934.11,298.0,377330.0,901.0,15.0,15.0,0.02,9.41,0
2386.2,2791.3,107.2,99.08,1282.65,934.11,298.0,377330.0,901.0,10.0,10.0,0.02,4.18,0
2533.8,2791.3,107.2,99.08,1282.65,934.11,298.0,400670.0,925.0,15.0,10.0,0.02,0.0,0
2386.2,2628.7,100.88,93.31,1207.94,991.89,298.0,377330.0,901.0,10.0,15.0,0.01,0.06,0
2533.8,2628.7,100.88,93.31,1207.94,991.89,298.0,400670.0,925.0,15.0,15.0,0.01,5.56,0
2386.2,2791.3,100.88,93.31,1207.94,991.89,298.0,400670.0,925.0,10.0,10.0,0.01,2.48,0
2533.8,2791.3,100.88,93.31,1207.94,991.89,298.0,377330.0,901.0,15.0,10.0,0.01,0.06,0
2386.2,2628.7,107.2,93.31,1207.94,991.89,298.0,400670.0,901.0,15.0,10.0,0.02,0.36,0
2533.8,2628.7,107.2,93.31,1207.94,991.89,298.0,377330.0,925.0,10.0,10.0,0.02,8.98,0
2386.2,2791.3,107.2,93.31,1207.94,991.89,298.0,377330.0,925.0,15.0,15.0,0.02,4.8,0
2533.8,2791.3,107.2,93.31,1207.94,991.89,298.0,400670.0,901.0,10.0,15.0,0.02,0.37,0
2386.2,2628.7,100.88,99.08,1207.94,991.89,298.0,377330.0,925.0,10.0,15.0,0.02,0.0,0
2533.8,2628.7,100.88,99.08,1207.94,991.89,298.0,400670.0,901.0,15.0,15.0,0.02,9.93,0
2386.2,2791.3,100.88,99.08,1207.94,991.89,298.0,400670.0,901.0,10.0,10.0,0.02,4.41,0
2533.8,2791.3,100.88,99.08,1207.94,991.89,298.0,377330.0,925.0,15.0,10.0,0.02,0.0,0
2386.2,2628.7,107.2,99.08,1207.94,991.89,298.0,400670.0,925.0,15.0,10.0,0.01,0.17,0
2533.8,2628.7,107.2,99.08,1207.94,991.89,298.0,377330.0,901.0,10.0,10.0,0.01,4.63,0
2386.2,2791.3,107.2,99.08,1207.94,991.89,298.0,377330.0,901.0,15.0,15.0,0.01,2.47,0
2533.8,2791.3,107.2,99.08,1207.94,991.89,298.0,400670.0,925.0,10.0,15.0,0.01,0.17,0
2386.2,2628.7,100.88,93.31,1282.65,991.89,298.0,377330.0,901.0,15.0,15.0,0.02,6.0,0
2533.8,2628.7,100.88,93.31,1282.65,991.89,298.0,400670.0,925.0,10.0,15.0,0.02,0.01,0
2386.2,2791.3,100.88,93.31,1282.65,991.89,298.0,400670.0,925.0,15.0,10.0,0.02,0.1,0
2533.8,2791.3,100.88,93.31,1282.65,991.89,298.0,377330.0,901.0,10.0,10.0,0.02,5.74,0
2386.2,2628.7,107.2,93.31,1282.65,991.89,298.0,400670.0,901.0,10.0,10.0,0.01,3.05,0
2533.8,2628.7,107.2,93.31,1282.65,991.89,298.0,377330.0,925.0,15.0,10.0,0.01,0.14,0
2386.2,2791.3,107.2,93.31,1282.65,991.89,298.0,377330.0,925.0,10.0,15.0,0.01,0.0,0
2533.8,2791.3,107.2,93.31,1282.65,991.89,298.0,400670.0,901.0,15.0,15.0,0.01,3.5,0
2386.2,2628.7,100.88,99.08,1282.65,991.89,298.0,377330.0,925.0,15.0,15.0,0.01,3.08,0
2533.8,2628.7,100.88,99.08,1282.65,991.89,298.0,400670.0,901.0,10.0,15.0,0.01,1.08,0
2386.2,2791.3,100.88,99.08,1282.65,991.89,298.0,400670.0,901.0,15.0,10.0,0.01,0.19,0
2533.8,2791.3,100.88,99.08,1282.65,991.89,298.0,377330.0,925.0,10.0,10.0,0.01,2.96,0
2386.2,2628.7,107.2,99.08,1282.65,991.89,298.0,400670.0,925.0,10.0,10.0,0.02,5.42,0
2533.8,2628.7,107.2,99.08,1282.65,991.89,298.0,377330.0,901.0,15.0,10.0,0.02,0.0,0
2386.2,2791.3,107.2,99.08,1282.65,991.89,298.0,377330.0,901.0,10.0,15.0,0.02,0.55,0
2533.8,2791.3,107.2,99.08,1282.65,991.89,298.0,400670.0,925.0,15.0,15.0,0.02,6.26,0
2460.0,2710.0,104.03999999999999,96.195,1245.295,963.0,291.5,389000.0,913.0,12.5,12.5,0.015,4.54,1
